soil_type,nitrogen,phosphorus,potassium,temperature,humidity,rainfall,ph,season,crop_label
Clay,59,74,56,23.38,60.91,187.32,6.71,Zaid,Rice
Sandy,97,43,61,24.84,79.93,249.26,7.44,Zaid,Maize
Black,68,39,24,21.13,83.39,216.68,7.02,Rabi,Cotton
Red,72,62,27,28.38,84.12,240.54,6.27,Kharif,Wheat
Black,41,30,57,19.66,78.43,116.44,6.08,Rabi,Rice
Clay,81,79,58,23.57,66.58,91.92,7.3,Zaid,Sugarcane
Clay,43,74,62,32.02,48.6,241.0,5.58,Kharif,Rice
Red,43,29,58,24.97,60.89,139.89,6.21,Zaid,Maize
Clay,58,58,52,21.82,46.4,77.45,7.38,Rabi,Maize
Clay,98,53,49,33.72,47.08,83.25,5.91,Kharif,Groundnut
Clay,59,37,43,28.96,76.06,229.15,5.52,Zaid,Groundnut
Sandy,47,23,25,20.6,65.33,113.02,6.98,Kharif,Soybean
Clay,71,64,69,27.15,58.49,129.63,6.17,Kharif,Rice
Clay,85,33,68,30.17,42.13,293.15,6.34,Rabi,Sugarcane
Clay,61,20,54,33.76,50.03,290.95,5.55,Rabi,Groundnut
Red,85,62,29,27.68,49.47,179.7,7.46,Kharif,Rice
Sandy,96,41,51,26.2,75.22,53.13,6.55,Zaid,Groundnut
Red,83,68,30,27.93,62.52,176.97,5.65,Zaid,Sugarcane
Black,90,59,29,24.46,62.1,298.12,6.87,Kharif,Sugarcane
Red,51,29,33,33.19,85.87,154.94,6.87,Rabi,Cotton
Clay,98,20,21,34.8,84.57,75.68,6.46,Rabi,Groundnut
Black,45,50,35,26.25,67.9,258.08,6.28,Zaid,Maize
Loamy,54,32,36,29.27,45.84,69.38,6.07,Zaid,Rice
Loamy,88,39,40,22.86,67.73,198.86,7.06,Kharif,Groundnut
Red,43,62,59,22.06,45.2,245.51,7.25,Rabi,Soybean
Clay,79,74,25,23.39,70.32,121.49,5.81,Rabi,Cotton
Black,91,52,31,25.03,41.8,92.44,5.82,Zaid,Cotton
Red,68,32,21,24.76,45.5,160.35,6.05,Rabi,Wheat
Black,92,45,32,25.01,84.0,188.87,5.75,Zaid,Soybean
Loamy,52,78,57,24.95,77.86,126.89,7.29,Zaid,Rice
Sandy,65,57,66,25.04,40.7,208.19,6.57,Kharif,Groundnut
Clay,66,27,24,22.4,61.85,259.37,5.55,Rabi,Cotton
Sandy,68,38,44,18.54,57.96,236.51,7.36,Zaid,Maize
Red,77,62,28,18.13,48.43,164.39,7.23,Zaid,Cotton
Loamy,76,54,46,27.39,65.48,98.18,6.19,Zaid,Wheat
Black,98,65,58,26.18,53.26,91.79,6.01,Zaid,Maize
Red,41,43,30,34.37,55.13,228.12,6.84,Kharif,Wheat
Black,45,39,39,31.46,79.69,291.1,6.75,Rabi,Rice
Loamy,56,67,24,30.28,53.35,250.18,7.12,Zaid,Groundnut
Loamy,66,53,25,18.48,65.89,201.83,6.51,Zaid,Groundnut
Loamy,78,21,44,26.43,81.7,267.27,5.73,Rabi,Wheat
Loamy,84,49,37,34.73,75.31,211.14,5.62,Rabi,Groundnut
Clay,93,59,61,18.82,66.72,77.8,6.87,Kharif,Cotton
Clay,44,21,63,31.11,52.11,217.41,7.44,Kharif,Groundnut
Sandy,56,65,30,31.45,69.61,214.21,7.28,Zaid,Cotton
Loamy,93,59,66,23.82,43.7,150.08,6.38,Rabi,Cotton
Black,68,68,46,21.19,71.21,116.27,6.47,Rabi,Maize
Black,88,23,65,24.21,72.0,96.4,5.68,Kharif,Maize
Red,54,21,24,34.03,58.35,73.35,5.53,Zaid,Cotton
Black,81,36,57,31.91,46.61,70.31,6.04,Rabi,Cotton
Clay,87,53,63,32.11,71.12,151.81,6.17,Kharif,Wheat
Sandy,48,61,35,20.04,67.94,187.96,6.53,Rabi,Groundnut
Loamy,41,46,26,29.83,40.67,182.56,7.02,Rabi,Soybean
Red,72,76,67,32.31,77.99,118.49,6.38,Rabi,Groundnut
Black,89,77,61,32.41,86.95,195.84,5.97,Rabi,Wheat
Red,58,45,27,22.28,89.24,274.39,6.09,Kharif,Soybean
Red,45,46,21,18.75,72.41,233.72,7.45,Kharif,Soybean
Loamy,89,21,30,24.62,66.42,158.34,5.86,Zaid,Cotton
Clay,53,39,20,28.11,81.62,86.33,6.11,Kharif,Sugarcane
Clay,80,51,59,34.53,78.71,277.45,6.8,Rabi,Soybean
Loamy,44,76,23,29.15,57.72,177.43,7.31,Zaid,Soybean
Red,63,70,58,33.46,81.43,215.29,6.36,Zaid,Wheat
Clay,67,55,60,25.07,65.65,222.6,6.71,Rabi,Groundnut
Red,95,23,36,24.41,55.42,143.22,7.47,Rabi,Groundnut
Black,83,24,69,23.29,74.57,211.97,5.52,Rabi,Soybean
Clay,44,75,33,32.41,50.31,264.72,5.53,Zaid,Cotton
Sandy,87,49,51,23.34,77.46,95.1,6.86,Rabi,Sugarcane
Sandy,77,79,39,28.22,65.38,85.31,6.13,Zaid,Wheat
Black,46,58,43,18.76,41.33,276.37,6.15,Rabi,Cotton
Clay,69,71,40,21.07,51.35,78.73,7.39,Kharif,Soybean
Red,96,21,26,33.18,58.67,163.8,7.4,Kharif,Groundnut
Clay,70,61,24,24.1,59.8,142.69,6.61,Rabi,Sugarcane
